nodeID,workerID,start_time,stop_time,task,return_code,file_path
h36n13,Worker-806b55f5-06e1-425a-8ed0-3fead0926045,1673626607.0820737,1673626607.1220782,postprocessing,0,Sphmag18G014400.1
h36n13,Worker-3739cfad-ace5-416c-a032-79ffb3f38b5f,1673626607.2446308,1673626607.2832122,postprocessing,0,Sphmag02G086600.1
h36n12,Worker-25a5d660-2734-43fe-a30c-c24a3f48c7f5,1673626607.7998848,1673626607.846736,postprocessing,0,Sphmag17G001200.1
h36n13,Worker-14da6346-a2c8-45bc-998a-14374b97e1c6,1673626607.9132876,1673626607.9499984,postprocessing,0,Sphmag02G086000.1
h36n12,Worker-ed3f74b9-1ebf-4bd4-a2dc-7af9f72bfec1,1673626608.5593734,1673626608.590304,postprocessing,0,Sphmag10G101200.1
h36n13,Worker-c7fcf421-c040-45f9-a1cf-5e20758ac21e,1673626608.6216874,1673626608.6402555,postprocessing,0,Sphmag02G184800.1
h36n13,Worker-c225c59a-b61b-467f-a0f7-79b85d1e64e9,1673626608.8831553,1673626608.9248564,postprocessing,0,Sphmag01G027700.1
h36n12,Worker-bd77031a-0063-413b-b530-469ae2fe359e,1673626609.0862339,1673626609.1317835,postprocessing,0,Sphmag04G089100.1
h36n13,Worker-4832df1e-6c37-4233-861e-4e3a445e4fba,1673626609.123355,1673626609.162608,postprocessing,0,Sphmag03G055600.1
h36n13,Worker-c9622fe9-265f-4f47-80b3-13aae12cb603,1673626609.1810923,1673626609.2203512,postprocessing,0,Sphmag08G036900.1
h36n13,Worker-9db26d36-6fe3-47c5-8a09-a4310e0eda3d,1673626609.287365,1673626609.3083196,postprocessing,0,Sphmag10G071300.1
h36n13,Worker-6e6dd7a9-18bf-4fa5-b0a5-8fe8c0f907c0,1673626609.39672,1673626609.419145,postprocessing,0,Sphmag09G077300.1
h36n12,Worker-499e4ccc-f916-4e15-b068-723fc71faca3,1673626609.4996734,1673626609.5271804,postprocessing,0,Sphmag18G045000.1
h36n13,Worker-a4e32748-6f7c-4565-988b-57b3c19ab229,1673626609.6646872,1673626609.6943996,postprocessing,0,Sphmag19G090300.1
h36n12,Worker-94224e31-1055-4a1d-94e7-339de42a72f5,1673626610.0371428,1673626610.0716498,postprocessing,0,Sphmag01G088700.1
h36n12,Worker-f33bfee1-330d-402a-b789-73225ec36602,1673626610.1769397,1673626610.2102797,postprocessing,0,Sphmag01G010400.1
h36n12,Worker-22f157f9-5af6-4ba5-814f-bf094a713233,1673626610.3506467,1673626610.3945673,postprocessing,0,Sphmag04G143000.1
h36n12,Worker-b1f47481-458f-43bc-9bf7-7853afe884de,1673626611.1002536,1673626611.1384928,postprocessing,0,Sphmag08G095700.1
h36n13,Worker-28bb8b40-ecb2-48bd-badb-2f4e4144d682,1673626611.1932292,1673626611.226947,postprocessing,0,Sphmag15G088400.1
h36n13,Worker-90c2eea4-e167-409d-bfa7-8e616c8021c0,1673626611.2122712,1673626611.2505841,postprocessing,0,Sphmag07G078800.1
h36n12,Worker-029a6a7e-9da1-45b5-bdf6-e8523ef3f8f1,1673626611.2166812,1673626611.261392,postprocessing,0,Sphmag04G095400.1
